Premise,Entailment,Neutral (non-sequitor),Contradiction,Creative contradiction
Finding the piece of paper in this chunk of documents is like looking for a needle in a haystack.,Finding the piece of paper in this chunk of documents is nearly impossible.,He actually found a needle in a haystack...how ironic!,Finding the piece of paper in this chunk of documents is ___,
No one follows the rules in this office. It's a jungle.,No one follows the rules in this office. There is no discipline.,He caught some virus from a jungle.,Everyone follows the rules in this office. There is no dallying.,
"Two years ago, I catapulted myself into the fashion world.","Two years ago, I entered into the fashion world.",Stones were catapulted against the wall of the city.,"Two years ago, I exited into the fashion world.",?
Why did you beat him to a pulp?,Why did you beat him so badly?,Mash the avocado to a pulp.,Why did you beat him so compassionately?,
That old soldier is ready for another battle. He's made of iron.,That old soldier is ready for another battle. He's tough.,The gate of the school is made of iron.,That old soldier is unprepared for another battle. He's soft.,
I worked myself to the bone.,I worked very hard.,The doctor checked the ankle for an injury to the bone.,I worked leisurely.,
It's a no brainer.,It's obvious.,Breathing is a no brainer exercise.,It's unclear.,
The pictures prove that the poor country has turned into hell.,The pictures prove that the poor country is in a very bad situation.,Orpheus descended into hell to rescue Eurydice.,The pictures belie that the country is in a good situation.,? (no underscores in the original)
A roaring deluge of applauses followed the performance.,Loud applause followed the performance.,We heard the roaring deluge of the river.,Quiet applause followed the performance.,
I was dazed by the elegance of the B&B.,I was surprised by the elegance of the B&B.,"The gang left him dazed, bleeding.",I was unsurprised by the elegance of the B&B.,
"If this character was a real person, I'd break every bone in his body.","If this character was a real person, I'd hurt him.",He managed to break every bone in his middle finger.,"If this character was a real person, I'd heal him.",
He's a giant with the brain of a chicken.,He's a giant but is not intelligent.,The brain of a chicken is small.,He's a giant but is astute.,
Living with you is a rollercoaster but it's worth the thrill.,Living with you has its ups and downs but it's worth the thrill.,I'd been yo-yoing up and down a rollercoaster.,Living with you is stable but it's worth the thrill.,
"When your mother saw you, she was about to pass out from excitement.","When your mother saw you, she was so very excited.",She felt as if she would pass out.,"When your mother saw you, she was indifferent.",
"My job is so boring, I want to die.","My job is so boring, I don't want to do it.",Many terminally ill people want to die.,"My job is so exciting, I want to do it.",
Too much work makes me feel demolished.,Too much work makes me feel tired.,The steps at the front entrance were demolished,Too much work makes me feel energetic.,
My paperworks piled up to the ceiling.,My paperworks piled up high.,A gecko climbed up to the ceiling.,My paperworks piled up low.,
His shout could split rocks.,His shout was very loud.,They learnt that explosives could split rocks.,His shout was very quiet.,
"Trust him, he's more faithful than the rising sun.","Trust him, he's faithful.",He woke up earlier than the rising sun.,"Trust him, he's traitorous. ",
Democrats and Republicans will agree on a tax reform bill when pigs will have wings!,Democrats and Republicans will not agree on a tax reform bill!,"If pigs will have wings, I will know I have gone crazy.",Democrats and Republicans will agree on a tax reform bill.,
"She has so many watches, she'd need eight arms to wear them all.","She has so many watches, it's not possible to wear them all.",She'd need eight arms to mix all that dough at the same time.,"She has so many watches, she can wear them all.",
Completing the puzzle took me decades.,Completing the puzzle took me a long time.,The economic system of the last few decades has failed.,Completing the puzzle took me seconds.,
I am tormented day and night.,I am tormented often.,The route has services day and night.,I am tormented seldom.,
I was mortally sorry.,I was deeply sorry.,The whales were shot and mortally wounded.,I was not sorry.,
That idea is eating away at him.,That idea makes him feel very worried.,Rust is eating away at the steel.,That idea puts him at ease.,
"As he grew, Victor became a shining star in a family of achievers.","As he grew, Victor became the best amongst the family of high achievers.",The shining star over there seems to be moving.,"As he grew, Victor became the worst amongst the family of high achievers.",
Give a man rope enough and he will hang himself.,Give a man rope enough and he will do very foolish things.,"The suicidal will prove his family is wrong, or he will hang himself.",Give a man rope enough and he will do very wise things.,
Your indifference is tearing me apart.,Your indifference is upsetting me.,That shark could be tearing me apart right now.,Your indifference is comforting me.,
You hear that noise? It's ear-piercing.,You hear that noise? It's very loud.,The alarm emits an ear-piercing a hundred fifteen decibel screech.,You hear that noise? It's very quiet.,
The ancient castle was so big that it took a week to walk from one end to the other.,The ancient castle was so big that it took a lot of time to walk from one end to the other.,It took a week to walk from one end of the region to the other.,The ancient castle was so big that it took a small amount of time to walk from one end to the other.,
Your words are poison.,Your words are very damaging.,Traces of poison were found in the bottle.,Your words are very healing.,
Sarah is completely lacking any sense of humor.,Sarah does not have a good sense of humor.,The movie is completely lacking a sympathetic female presence.,Sara has a good sense of humor.,
Swamps of people are coming to my birthday party.,Lots of people are coming to my birthday party.,The swamps were drained.,Dearths of people are coming to my birthday party.,
The blood flowing from the boy's tooth covered the tiled floor.,The blood flowing from the boy's tooth dropped on the tiled floor.,A thin carpet covered the tile floor.,The blood flowing from the boy's tooth left no trace.,
It seems to have been raining for fourty days and fourty nights.,It seems to have been raining for a long time.,The Hebrews had traveled for fourty days and fourty nights.,It seems to have been raining for a short time.,
The flap of skin opened like a cupboard door.,The flap of skin opened wide.,She opened the cupboard door.,The flap of skin opened narrow.,
Your predictions were right. You have a third eye.,Your predictions were right. You have great intuition.,The god Shiva uses a third eye to see beyond the apparent.,Your predictions were wrong. You have great ignorance.,
They were in a trance when arguing with that manipulator.,They were in a daze when arguing with that manipulator.,They put the subject under trance before attempting any experimentation.,___e when arguing with that manipulator.,
Those criminals are feasting on violence.,Those criminals thrive on acts of violence.,The couple is feasting on a romantic dinner.,Those criminals wither on acts of violence.,
My evening jog with Bill turned into a marathon.,My evening jog with Bill turned into a long run.,He once ran a marathon for training.,My evening jog with Bill turned into a sprint.,
The global crisis has seen prices skyrocket over the past week.,The global crisis has seen prices rise over the past week.,A meteor could skyrocket in the atmosphere.,The global crisis has seen prices fall over the past week.,
The new king'll be all-time adored.,The new king'll be adored.,It is an all-time truth that after life comes death.,The new king'll be loathed.,
There are cascades of clothes in my wardrobe!,There are large amounts of clothes in my wardrobe!,On the way up the hill there are hidden cascades.,There are small amounts of clothes in my wardrobe!,
You will give a good first impression without a doubt.,You will very likely give a good first impression.,I am without a doubt about the sort of assignment I have been presented with.,You will very improbably give a good first impression.,
This is the single most important advice of your life.,This is the really important advice of your life.,This is the single most expensive cake in the city.,This is the least important advice of your life.,
Hyperbole is the greatest thing in the history of the universe.,Hyperbole is a great thing.,Big Bang is described as the greatest explosion in the history of the universe.,Hyperbole is a lousy thing.,
The Eagle soars in the summit of the azure.,The Eagle soars high in the sky.,"After the levelling, the summit of the hill dropped by ten metres.",The Eagle soars low in the sky.,
"As a father, in this moment, there's just pain in my heart.","As a father, in this moment, I am overwhelmed by pain.",I feel a pain in my abdomen.,"As a father, in this moment, I am underwhelmed by pain.",
Bring these vermin to the Palace of Justice.,Bring these bad people to the Palace of Justice.,The beds were horrid filthy and full of vermin.,Remove these good people to the Palace of Justice.,"to make the whole comment negative it would have to be ""from"""
"Social security, health, welfare and education systems are being laid on a Procrustean bed.","Social security, health, welfare and education systems are being held to a rigid standard.",Greek travelers were tortured on a Procrustean bed.,"Social security, health, welfare and education systems are being held to a lax standard.",
The secretary is a boot licking lapdog.,The secretary is very servile.,I found the collar of the lap dog.,The secretary is very disobedient.,
My dog can run faster than a thunderbolt.,My dog can run very fast.,Sheet lightning is a brightening of the clouds rather than a thunderbolt striking the ground.,My dog can run very slowly.,
Doesn't change the fact that we're up to our necks in muck.,Doesn't change the fact that we are in deep trouble.,We wanted to be buried up to our necks in sand.,Doesn't change the fact that we are fine.,
He orders his family not to forget that he is the king of his house.,He told his family not to forget that he is the head of his house.,Edward was the king of England.,He told his family not to forget that he is the servant of the house.,
"If Sylvia flirted with Johnny, Steve threatened to beat the living tar out of her.","If Sylvia flirted with Johnny, Steve threatened to beat her.",,"If Sylvia flirted with Johnny, Steve threatened to hug her.",
She was worn to a shadow after months of nursing her sick husband.,She was weak after months of nursing her sick husband.,The image is similar to a shadow cast on the ground.,She was strong after months of nursing her sick husband.,
"I heard you possess eagle vision, Mister.","I heard you possess good vision, Mister.",Eagle vision allows to spot prey easily.,"I heard you possess bad vision, Mister.",
I'm on a whisky diet. I've lost three days already.,"Because I drank so much whiskey, I do not remember the last three days.",The risk of data being lost must decrease.,"Because I drank so little whiskey, I remember the last three days.",?
"Don't touch a woman, not even with a flower.","Don't touch a woman, not even lightly.","She did not decorate the garden, not even with a flower.","Don't touch a woman, not even harshly.",
I thought I'd found sugar-free chocolate nirvana at first taste.,I thought I'd found an amazing sugar-free chocolate at first taste.,One Buddhist priest claimed he went to nirvana.,I thought I'd found an awful sugar-free chocolate at first taste.,
It'll just - bam! - hit me like lightning.,It'll just - bam! - hit me hard.,"This attack is like lightning, it never strikes twice in the same place.",It'll just - bam! - hit me soft.,
This year the new fashion trends spread like wildfire.,This year the new fashion trends spread quickly.,The virus spread like wildfire.,This year the new fashion trends spread slowly.,
She can't see but darkness: she's desperate.,She feels she is in the darkness: she's desperate.,She can't see anything since the accident impaired her view.,She feels she is not in the darkness: she's content.,
Seeing you again - my life seems to stop there.,Seeing you again - my life is changed irrevocably by this.,I'll stay here to stop you running away.,Seeing you again - my life is unmoved by this.,
This new computer program is all Greek to me.,His new computer program is very difficult for me to understand.,Wine selection is all Greek.,His new computer program is very easy for me to understand.,
The boy is an Adonis...and he knows it.,The boy is handsome...and he knows it.,Apollo and Adonis are tributes to beauty.,The boy is a schlump...and he knows it.,
I wouldn't miss the party for anything in the world.,I don't want to miss the party.,My aunt does not love the world or anything in the world.,I do want to miss the party.,
"At this price, it's a steal!","At this price, it's a very good deal!",A steal must be prevented.,"At this price, it's a bad deal.",
I wear my favourite t-shirt day in day out.,I wear my favourite t-shirt repeatedly.,I use my voice day in day out.,I wear my favourite t-shirt occasionally.,
"She stood frozen, searching for him.","She stood still, searching for him.",Frozen meals may sound the answer to a quick meal.,"She paced nervously, searching for him.",
My oral exam was very quick. I was done seconds after entering the classroom.,My oral exam was very quick. I was done soon after entering the classroom.,"Seconds after the sound, a consonant appears on the screen.",My oral exam was long. I was done solely after a long time passed.,
The reputation of this pizza's hanging by a thread.,The reputation of this pizza is at risk.,A needle was hanging by a thread.,The reputation of this pizza is safe.,
"A friend of mine brought the chips into work with the claim ""these will change your life"". ","A friend of mine brought the chips into work with the claim ""these are excellent"".","Unfortunately,  these surgeries will change your life.","A friend of mine brought the chips into work with the claim ""these are terrible"".",
I'm begging! Give me the last piece of the cake.,I'm requesting! Give me the last piece of the cake.,"You'll end up on the street, begging for some money.",I am demanding! Give me the last piece of the cake.,
The water in the sea is almost boiling.,The water in the sea is really hot.,Almost boiling hot water poured out of the taps.,The water in the sea is cold.,
Life goes in a heartbeat.,Life goes in a little bit of time.,The sound of a heartbeat helps you relax in stressful situations.,Life goes in a long time.,
Music is my daily drug.,Music is important to me.,I have an excuse to take my daily drug.,Music is not important to me.,
Fools rush in where angels fear to tread.,Fools rush in where experienced people would not.,Angels fear to tread in the evil places of life.,Fools rush in where experienced people do.,
The sins of the people would weight so heavy upon the land that the whole town would collapse.,The sins of the people are very severe.,The cans weight so heavy that the whole shelves would collapse.,The sins of the people are negligible.,
The player is undeniably talented.,The player is very talented.,"Reports of the stakes vary, but the odds were undeniably high.",The player is untalented.,
She met my dad and then got whizzed off to so many different countries.,She met my dad and then got taken quickly off to so many different countries.,A mass of footage whizzed across the screens.,Before she met my dad she had taken off to so many different countries.,
"Oh, you are soaked to the bone, monsieur.","Oh, you are very wet, monsieur.","Marinate the chicken for days, until it is soaked to the bone.","Oh, you are dry, monsieur.",
We were getting to be like two goldfish in a bowl with no way out.,We were getting trapped with no way out.,There were two goldfish in a bowl.,We were getting tremendously lost in all the opportunities.,
"Oh, my mother, if you cough somewhere in Siberia she'll hear you.",My mother has good hearing.,She'll hear you crying.,My mother can't hear well.,
"Intellectually speaking, this city is almost as sterile as the Sahara Desert.","Intellectually speaking, this city is very sterile.","One day, the city was as hot as the Sahara Desert.","Intellectually speaking, this city is dirty.",
She has a fairy aura.,She has a nice sense about her.,She red many fairy adventures.,She has a bad sense about her.,
A man without purpose is an empty individual.,A man without a purpose is an unfulfilled individual.,I see an empty seat at the briefing table.,The man without a purpose purpose is an absolutely fulfilled individual.,
He is a good dog who goes to church.,He is a good faithful man who goes to church.,Here is the dog who goes to church with his owner.,He is a bad unfaithful man who goes to church.,
This spray will fill your days with the freshness of the ocean breeze.,This spray has the odour of freshness of the ocean breeze.,Fill your wardrobe with the latest peasant shirts.,The spray does not have the freshness of the ocean breeze.,
For dinner he would eat a silo full of grain.,For dinner he would eat a lot of grain.,Falling into a silo full of grain can be a problem.,For dinner he would eat a little bit of grain.,
"The temperature was so low, I saw polar bears wearing jackets.",The temperature was low.,Polar bears can live healthily at a low temperature.,The temperature was high.,
Bikers coming from behind you are a calamity on the roads.,Bikers coming from behind you are a danger on the roads.,The first calamity was a disastrous trade war.,Bikers coming from behind you are a safe element of the road.,
"His teeth would uncover, and shine savage like the furnaces.","His teeth would uncover, and shine very bright.",The bonfires shine savage like furnaces.,"His teeth would uncover, and look matte.",
Taking my eyes off her is absurd.,I don't want to stop looking at her.,Supporting the flatness of Earth is absurd.,I don't mind stopping looking at her.,
"I only step on your toe, don't make a federal case out of it.","I only step on your toe, don't make a big deal out of it.",The federal case was due to be decided by a jury.,"I only step on your toe, don't brush it off.",
Jack Marshall wouldn't hurt a fly.,Jack Marshall wouldn't hurt anyone.,Only a fly was caught in the chamber with him.,Jack Marshall wouldn't miss an opportunity to hurt someone.,
An idle brain is the devil's workshop.,An idle brain is the place where evil thoughts arise.,He was studying how the human brain works.  ,An idle brain is the place where good thoughts arise.,
Ice-cream saves human beings from boredom.,Ice-cream stops you from feeling bored.,A pet dog saved his owner from a knife attack.,Ice-cream makes you feel bored.,
You are but unreasoning apes.,You are very unreasoning persons.,Humans and apes have a common ancestor.,You are not unreasoning persons.,
He has a whole room filled with cash.,He has a lot of cash.,Scrooge McDuck had a whole room filled with cash.,He has a little bit of cash.,
I'm a hundred percent American.,I am truly American.,T-Shirts are a hundred percent cotton.,I am not completely American.,
"No matter what anybody says, you'll always be a prince to me.",No matter what anybody says you will always be important to me.,The boy uses his wishes to become a prince.,No matter what anybody says you will never be important to me.,
"Of the two brothers, the oldest was unquestionably the smartest.","Of the two brothers, the oldest was the smartest.",The property unquestionably belongs to the citizens.,"Of the two brothers, the oldest was not the smartest.",
Ours is the world's favourite airline.,Ours is a favorite airline of many people in the world.,English is the world's international language.,Ours is a favourite airline of hardly anyone.,
Marta is pathologically unpunctual to her appointments.,Marta is late to her appointments.,The five cases classified pathologically.,Marta is on time to her appointments.,
Stop bothering him: you're playing with fire.,Stop bothering him: you're inviting trouble.,Playing with fire will get her burned.,Stop bothering him: you're not bringing any trouble.,
It took him about an hour to comb his hair.,It took him a fair bit of time to comb his hair.,Dinner will be ready in about an hour.,It took him a short amount of time to comb his hair.,
College students eat crap.,College students eat unhealthy food.,The amount of crap that adorns my pavement is enormous.,College students eat healthy food.,
Life is rushing by like a river in flood.,Life is rushing by very quickly.,You should never cross a river in flood.,Life is dragging.,
His nose became so long that he could not even turn around.,His nose became so long that it troubled him.,A Puma was kept in a cage so small he could not even turn around.,His nose became so short that it troubled him.,
The old driver arrived not a second too soon.,The old driver arrived on time.,The spacecraft was launched not a second too soon.,The old driver arrived late.,
It must be a dream!,It is very hard to believe!,"I could fly and become invisible, so I realized it must be a dream!",It is easy to believe.,
He has as many debts as a dog has fleas.,He has many debts.,My friend's dog has fleas.,He has no debts.,
His piano playing is enough to make Beethoven turn in his grave.,His piano playing is very bad.,He likes to play the piano. ,His piano playing is good.,
That chocolate melts in your mouth like a single snowflake in the palm of your hand.,That chocolate melts in your mouth smoothly.,The touch of this mosquito is like a single snowflake in the palm of your hand.,That chocolate melts in your mouth if you wait long enough.,
At no time does a watched pot boil.,A watched pot seems to take a long time to boil.,At no time did we throw the towel in.,A watched pot seems to boil quickly.,
The work of the farm seemed to rest entirely on this horse's mighty shoulders.,The work of the farm seemed to rest on this horse's mighty shoulders.,The photo fits entirely in one page.,The work of the farm seemed to be independent of this horse's mighty shoulders.,
Shopping drained me today.,Shopping exhausted me today.,"To vary, use drained green peppercorns in brine.",Shopping energised me today.,
"Here he was, in total control.","Here he was, in control.",Total elimination of one ingredient is irrelevant.,"Here he was, out of control.",
Shower her with compliments.,Give her a lot of compliments.,He rushed inside to shower her with cold water.,Don't give her compliments.,
Life is a hospital where we fight to cure ourselves.,Life is a place where we fight to cure ourselves.,"More than a hospital, it looked like a resort.",Life is a place where we accept that we're sick.,
Let's be best friends in perpetuity.,Let's be best friends for the whole of our lives.,The community does not hold land in perpetuity.,Let's be best friends for a while.,
I'm burning of envy.,I'm very envious.,Keep the candle burning.,I'm not envious.,
The tourists will soak up any information you give them.,The tourists will take in any information you give them.,The towel will soak up any remaining liquid.,The tourists will forget any information you give them.,
Making drastic choice is necessary for an adventurous life.,Making drastic choice is useful for an adventurous life.,Gravity is necessary for life as we know it.,Making drastic choice is harmful for an adventurous life.,
Professors read a boatload of essays.,Professors read a lot of essays.,The girls met on a boatload of refugees.,Professors read a few essays.,
"He that drinks beer, only thinks beer.","He that drinks beer, often thinks of beer.",He only thinks of philosphy as an esoteric discipline.,"He that drinks beer, only sometimes thinks of beer.",
"If our plan goes up in smoke, I leave the group.","If our plan fails, I leave the group.",Tracey's kitchen goes up in smoke.,"If our plan succeeds, I leave the group.",
She can have any boy that she wants.,She will have no shortage of boyfriends.,I don't know any boy of that name.,She will have no boyfriends.,
Anna's cooking is a force of nature.,Anna's cooking is good.,We can contrast gravitation with a force of nature like electromagnetism.,Anna's cooking is bad.,
They cooked a turkey the size of a cow.,They cooked a big turkey.,The baby elephant was already the size of a cow.,They cooked a small turkey.,
It is enough to fright you out of your seven senses.,It is enough to frighten you.,There are seven senses in which the term has been used by legislatures.,It is enough to give you courage.,
I'm sold!,I'm convinced!,Many brands are sold commercially for far less.,I'm not convinced.,
"My dog is so ugly, we had to pay the fleas to live on him.",My dog is really ugly.,My dog has fleas.,My dog is pretty.,
It's unfair how the media is martyrizing the ten year old boy.,It is unfair how the media is mistreating the ten year old boy.,"On the emperor's order, the soldiers began martyrizing the Christians.",It is unfair how the media is glorifying the ten year old boy.,
There are no words to describe my admiration.,I can find not many words to describe my admiration.,She found no words to describe her admiration.,I can find many words to describe my admiration.,
His ambitious hunger moves him to a pantagruelic attempt.,His ambitious hunger moves him to a very large attempt.,He likes the pantagruelic world described by Rabelais.,His ambitious hunger moves him to a very small attempt.,
"You are a vision of loveliness, darling!","You are very cute, darling!",Our vision of the effects of the crisis has changed.,"You're not that cute, darling!",
That was the easiest question in the world.,That was an easy question.,They posed many questions.,That was a hard question.,
"When sorrows come, they come not single but in battalions.","When sorrows come, they come not single but many at a time.",Collective training of the battalion is conducted here.,"When sorrows come, they come not single but as one",
April is the cruelest month.,April is the worst month.,The cruelest judgment I received is that I was a liar.,April is the best month,
I've found my Atlantis not far from home.,I've found the place I want to be not far from home.,Legendary Atlantis still excites the minds of researchers.,"I found a place I wish to avoid, not far from home.",
"His classmates laughed at him, saying he had a pea-sized brain.",His classmates laughed at him saying he had a very little brain.,I saw a pea sized circular mass on my left arm.,His classmates laughed at him saying he has a big brain. ,
Shami and Peter are deliriously happy together.,Shami and Peter are very happy together.,"Afflicted by an outbreak of fever, they were speaking deliriously.",Shami and Peter are very unhappy together,
The task was of too herculean a nature to be accomplished within four years.,The task was of too difficult a nature to be accomplished within four years.,Herculean battles took place daily.,The task was quite easy in nature to be accomplished within four years.,
I could live on these broccoli and there is no need for anymore to say.,I could live on these broccoli.,I could live on very limited means.,I could not live on this broccoli,
Johnny was scared of his own shadow.,Johnny was fearful.,The dog was scared of his own shadow.,Johnny was brave,
Her eyes were gray and sharp like the points of two picks.,Her eyes were very gray and sharp.,Two bars of the gate are sharp like the points of two picks.,Her eyes were grey and dull,
Cry me a river.,Cry a lot.,Last year my granpa went kayaking in a river.,Cry a little,
"You can see what she's thinking, like she's almost transparent.","You can see what she's thinking, she's easy to understand.",Layers of the retina are almost transparent.,"You can see what she's thinking, she is hard to understand",
What kind of sorcery is this?,What is this incomprehensible thing?,Bad fortune was often attributed to sorcery.,What is this comprehensible thing,
Love is blind.,Love makes you ignore bad things.,I think her friend is blind.,Love makes you acknowledge bad things.,
Precisely nothing could go wrong with his plan.,Almost nothing could go wrong with his plan.,"I caught precisely nothing, not even a pea.",Everything could go wrong with his plan.,
"And he was rich - yes, richer than a king.","And he was rich - yes, very rich.",The Queen is more limited in her powers than a king would be.,"And he was rich - yes, very poor.",
I must impose chains upon myself.,I must impose restrictions upon myself.,I sobbed as they placed the chains upon my back,I must encourage freedom upon myself.,
An army of artists was crowding the room.,A large group of artists was crowding the room.,A small army of security agents converged on the house.,A small group of artists was crowding the room.,
I'm sure you are another Mother Teresa.,I'm sure you are a good person.,Another Mother Theresa cannot exist.,I'm sure you are a bad oersib,
Grandpa is older than dirt.,Grandpa is very old.,Grandpa found more than dirt in the attic.,Grandpa is very young,
She shows no emotions: she has become an iceberg of a woman.,She shows no emotions: she has become a cold woman.,Such examples represent the tip of an iceberg.,She shows excessive heightend: she has become a firey woman,
"The coffee was really good, but it costed me my monthly money.","The coffee was really good, but it cost me a lot of money.",I started saving my monthly money.,"The coffee was really good, but it cost me very little",
Her boyfriend would obey her commands like a tame pet.,Her boyfriend would obey her commands without hesitation.,The animal in question is a tame pet.,Her boyfriend would obey her commands unwillingly,
It's an indefensible sin to steal a pin.,It's wrong to steal a pin.,Mixing alcohol and firearms was considered an indefensible sin in all of my safety courses.,It's right to steal a pin.,
They are unlike any other olives out there.,The olives are better than other olives out there.,It is a town unlike any other I have known before.,The olives are worse than the other olives out there,
He was born with crystal bones.,He was born with fragile bones.,Crystal jewels are teardrop shaped.,He was born with sturdy bones,
"It's so hot, it feels like I'm in a sauna.",It's so hot.,She declared that the sauna was suffocating.,It's so cold,
Franch's is more than the best.,Franch's is the best.,"Ice-cream here is delicious, more than the best in our country.",Franch's is the worst,
"She smiled at me, I almost fell out of my chair.",She smiled at me and I was surprised.,"I was trying to get those waffles, and I fell out of my chair.",She smiled at me and I expected it,
This new brand is unmistakable.,This new brand is good.,Being aware of our thoughts is the unmistakable sign that we exist.,This new brand is bad,
"I can't let go now, I'm possessed.","I can't let go now, I'm deeply engrossed in this.",Barnes possessed excellent paintings by Cézanne.,"I can't let go now, I'm bored of this",
The news has been blown out of all proportion.,The news has been exaggerated.,The ballon has been blown out of proportion and has exploded.,The news has been downplayed,
I sold my soul to the Devil to get you through college.,I worked hard to get you through college.,We sold our house when I got a new job.,I worked lazily to get you through college.,
Her strength awoke in poets a love that is eternal.,Her strength awoke in poets an abiding love.,They supported the view that laws of nature are eternal.,Her strength awoke in poets a transient dislike,
This kind of anger rages like a sea in a storm.,This kind of anger rages violently.,Fishermen pledged to combat the waves of the sea in a storm.,This kind of anger rages impotently,
"Precious, self-contained, and solitary as an oyster.","Precious, self-contained, and solitary.",This egg is slippery as an oyster.,"Precious, self-contained, and extraverted",
He appeared like a descended god.,He appeared graceful.,Jesus sits among men as a descended god.,He appeared clumsy,
"That said, I'm on the precipice of doom.","That said, I'm feeling close to defeated.",The first attack brought doom to the colony.,"That said, I'm close to victory",
The best education systems don't necessarily dole out piles of homework to students.,The best education systems don't necessarily dole out a lot of homework to students.,They collected flat piles of twigs in the wood.,The best education systems don't necessarily dole out small quantiteis of homework,
My little sister gravitates towards me. She's my satellite.,My little sister moves around me. She's my follower.,Every satellite of Saturn gravitates towards the others.,"My little sister is repelled by me, she is disbeliver",
"There are no leftovers, he's a dustbin!","There are no leftovers, he eats a lot!",He's sitting on a dustbin.,"There are no leftovers, he eats little",
This room is an oven.,This room is very hot.,Bake the bread in a preheated oven.,This room is very cold,
Why do we have four thousand forks and no spoons?,Why do we have so many forks and no spoons?,A total sample of four thousand subjects was obtained.,Why do we have so few forks and no spoons?,
It was a gust of fragrances.,It was a sudden rush of fragrances.,I was buffeted by a gust of wind.,Slow plod of fragrances.,
This is a tough situation. You're having a gorilla on top of you.,This is a tough situation. You're having a lot of pressure.,Having a gorilla in the picture would ruin it.,This is a tough situation. You're having a an easy time.,
I want to get you out of my head.,I want to stop thinking about you.,Useful ideas come out of my head today.,I want to only think of you.,
There's dust everywhere.,There's dust all around.,The horrors must be stopped everywhere.,There's dust nowhere,
He is so vicious that there should be a circle in Dante's Inferno specifically for him.,He is so vicious that there should be a harsh punishment specifically for him.,A circle in Dante's Inferno is for the lustful.,He is so vicious that there should be a wonderful reward,
"John was called ""the elephant of the class"" for his clumsiness.    ",John is very clumsy.,The elephant of the class is a book for children.,John was graceful,
Looking for a featherweight tripod.,Looking for a lightweight tripod.,A featherweight insect was flying about his head.,Looking for a heavyweight tripod,
"With each of her screams, the world came apart.","With each of her screams, the world felt very sorrowful.",She explained how the Arab world came apart.,"With each of her screams, the world felt very elated",
I have a headache the size of Texas.,I have a severe headache.,The diameter of the largest asteroid is about the size of Texas.,I have a weak headache,
The true meaning of decadence can be found in this meal!,This meal is decadent!,Ignorance of the true meaning of a word leads to misunderstanding.,This meal is mundane,
Every one of her drawings is a rapture for the eyes.,Each of his drawings is pleasing to the eyes.,The monk said he was lost in a spiritual rapture.,Each of theirdrawings is offensive to the eyes,
Have you seen the feverish activity in grandma's kitchen?,Have you seen the very busy activity in grandma's kitchen?,To start with you may feel slightly feverish.,Have you seen the lack of activity in grandma's kitchen?,
Hope deferred makes the heart sick.,Hope deferred makes one sad.,Too much wine makes the heart sick.,Hope deferred makes happy,
He is more aged than the hills.,He is very old.,This place is more remote the hills I had known.,He is very young,
There are ketchup die hard fans out there.,There are big ketchup fans out there.,Cockroaches are die hard creatures.,There are uncaring kotchup fans out there.,there are small ketchup fans out there.
If I tried to carry all that cargo in my head it would make me stoop-shouldered.,If I tried to carry all that cargo in my head it would make me quite tired.,I may become stoop- shouldered and develop back problems.,If I tried to carry all that cargo in my head it would make me quite energized,
"I don't lie, I'm a slave to the truth.","I do not lie, I'm a teller of the truth.",The boy was given as a slave to the emperor.,"I don't lie, I'm a I am a teller of lies",
You're too beautiful.,You're beautiful.,Our wood was too big to fit the little hole.,You're Ugly,
My dad'll hit the roof when he finds out that I wrecked his car.,My dad'll be very angry when he finds out that I wrecked his car.,The golf ball hit the roof of the house.,"Dad will be very happy, when he finds out that I wrecked his car.",
A player who can stop our team from winning the championship does not exist.,A player who can stop our team from winning the championship would be hard to find.,The account does not exist in the registry.,A player who can stop our team from winning the championship would be easy to find,
He has an encyclopedic knowledge of the impressionists.,He has a very impressive knowledge about the impressionists.,I started helping out with an encyclopedic dictionary.,He has a very poor knowledge about the impressionists.,
The king can do no wrong.,The king is above the law.,Babies can do no wrong.,The king is not above the law,
Chris won't drive her home because she lives on the other side of the universe.,Chris won't drive her home because she lives very far.,Chris wonders if there is civilization on the other side of the Universe.,Chris won't drive her home because she lives very nearby,
"Your father is a legend, no one worked hard for the community like he used to do.","Your father is well known, no one worked hard for the community like he used to do.",Muhammad Ali became a legend.,"Your father is unknown, no one worked hard for the community like he used to do.",
She enters my brain and cleans the mess.,She orders my ideas.,Drug-infused blood entered my brain.,She disorders my reality,
My heart burns for you.,My heart shakes for you.,A flame burns a candle.,my heart freezes for you.,
This croissant made my day.,This croissant improved my day.,The news made my day happy.,This croissant degraded my day,
"Once I get her tuned up, this old car will go like greased lightning.","Once I get her tuned up, this old car will go very fast.",Greased lightning is a power fist variant with an hydraulic shock.,"Once I get her tuned up, this old car will go very slow",
Most of the businesses here are already skating on thin ice because of the economy.,Most of the businesses here are already facing financial hardships because of the economy.,"When skating on thin ice, move fast.",Most of the businesses here are already facing financial success because of the economy,
You're an infant dad.,You're behaving childishly dad.,The infant can now understand English.,You're behaving maturely dad.,
I can make the best pesto in the world.,I can make a delicious pesto.,Kasparov proved the best chess player in the world several times.,I can make a disgusting pesto.,
Bittersweet nectar flows in measureless abundance.,Bittersweet nectar flows in great abundance.,Parents' love is measureless.,Bittersweet nectar flows in limited abundance.,
